run_slug,arm,stage,wall_s,merge_wall_s,peak_rss_kib,timing_scope,timing_breakdown,repeat,solver_calls,solver_near_time_limit_count,max_solver_s
a09_6000_6800,B,frontend,REUSED,2.2717845870065503,1351164,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 36.33771564200288, ""classical_gftt_tracking_generation_s"": 257.46655268485483, ""image_preprocessing_s"": 155.33374710619682, ""xfeat_eligibility_s"": 58.50401191804849, ""xfeat_tracking_generation_s"": 306.88900816618116}",,,,
a09_6000_6800,B,backend,60.32174500299152,,87120.0,,,1,388,16,0.034933083
a09_6000_6800,B,backend,60.52062686299905,,87812.0,,,2,388,12,0.03522508
a09_6000_6800,B,backend,60.3202350599895,,87804.0,,,3,388,15,0.035575946
a09_6000_6800,L6,frontend,833.0564254130004,9.622054577004747,1351164,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 36.33771564200288, ""classical_gftt_tracking_generation_s"": 257.46655268485483, ""image_preprocessing_s"": 155.33374710619682, ""xfeat_eligibility_s"": 58.50401191804849, ""xfeat_tracking_generation_s"": 306.88900816618116}",,,,
a09_6000_6800,L6,backend,60.420619718002854,,88116.0,,,1,388,8,0.035185762
a09_6000_6800,L6,backend,60.42476194599294,,87500.0,,,2,388,18,0.035992542
a09_6000_6800,L6,backend,60.42096186999697,,88356.0,,,3,388,10,0.034360942
a09_6000_6800,L-all,frontend,833.0564254130004,12.351131567003904,1351164,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 36.33771564200288, ""classical_gftt_tracking_generation_s"": 257.46655268485483, ""image_preprocessing_s"": 155.33374710619682, ""xfeat_eligibility_s"": 58.50401191804849, ""xfeat_tracking_generation_s"": 306.88900816618116}",,,,
a09_6000_6800,L-all,backend,60.525351936987136,,87620.0,,,1,388,7,0.035892189
a09_6000_6800,L-all,backend,60.524961620001704,,88196.0,,,2,388,9,0.035245788
a09_6000_6800,L-all,backend,60.52654397500737,,87340.0,,,3,388,10,0.034446665
a09_6000_6800,C-all,frontend,833.0564254130004,10.071170889001223,1351164,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 36.33771564200288, ""classical_gftt_tracking_generation_s"": 257.46655268485483, ""image_preprocessing_s"": 155.33374710619682, ""xfeat_eligibility_s"": 58.50401191804849, ""xfeat_tracking_generation_s"": 306.88900816618116}",,,,
a09_6000_6800,C-all,backend,60.62581020798825,,87328.0,,,1,388,14,0.041399937
a09_6000_6800,C-all,backend,60.41607802499493,,87552.0,,,2,388,19,0.036069276
a09_6000_6800,C-all,backend,60.52363471800345,,87344.0,,,3,388,16,0.035660694
a02_0_900,B,frontend,REUSED,2.3419095999997808,1626392,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 58.18547729009879, ""classical_gftt_tracking_generation_s"": 305.66267043419066, ""image_preprocessing_s"": 173.8962354562973, ""xfeat_eligibility_s"": 143.36678228413803, ""xfeat_tracking_generation_s"": 406.6552294982248}",,,,
a02_0_900,B,backend,64.97736083800555,,101232.0,,,1,421,104,0.04861175
a02_0_900,B,backend,65.03257176700572,,97844.0,,,2,421,113,0.046880625
a02_0_900,B,backend,64.952297722004,,99780.0,,,3,421,109,0.049409218
